Designator,Mid X,Mid Y,Rotation,Layer
C1,27.325,-83.68,180.0,top
C2,27.325,-81.17,180.0,top
C3,27.325,-78.66,180.0,top
C4,27.325,-76.15,180.0,top
C5,32.1,-71.15,270.0,top
C6,28.6,-87.400001,270.0,top
D1,29.9375,-95.5,180.0,top
J1,11.7,-88.15,180.0,top
J5,31.03,-34.57,180.0,top
R1,30.075,-92.25,180.0,top
R2,30.75,-50.925,270.0,top
R3,24.0,-53.0,0.0,top
